employee_id,department,level,gender,base_salary,bonus,total_compensation,years_experience,age,contract_type
EMP0001,Operations,Junior,F,31800,4900,36700,3,24,full-time
EMP0002,Marketing,Mid,F,36700,0,36700,5,29,full-time
EMP0003,Engineering,Lead,F,71600,0,71600,18,46,full-time
EMP0004,Engineering,Director,M,127300,0,127300,23,40,full-time
EMP0005,Marketing,Junior,F,30800,0,30800,2,26,full-time
EMP0006,HR,Junior,M,27500,0,27500,3,25,full-time
EMP0007,Engineering,Lead,M,91500,0,91500,11,40,full-time
EMP0008,Finance,Mid,F,45800,4500,50300,7,33,full-time
EMP0009,Sales,Mid,M,41500,6800,48300,4,30,full-time
EMP0010,Sales,Junior,M,31200,4400,35600,3,22,full-time
EMP0011,Finance,Senior,M,73700,0,73700,12,30,temporary
EMP0012,Finance,Junior,F,32600,0,32600,3,26,full-time
EMP0013,Sales,Mid,M,36400,6400,42800,4,33,full-time
EMP0014,HR,Mid,M,46900,3600,50500,3,32,full-time
EMP0015,Finance,Lead,F,79600,10700,90300,12,36,full-time
EMP0016,Finance,Junior,M,35700,0,35700,1,23,full-time
EMP0017,Operations,Lead,F,67600,9200,76800,13,40,full-time
EMP0018,Legal,Mid,M,47100,7400,54500,6,32,temporary
EMP0019,HR,Junior,M,27500,3300,30800,3,25,temporary
EMP0020,Engineering,Senior,M,60200,7700,67900,10,35,full-time
EMP0021,Finance,Lead,M,88200,15400,103600,17,37,full-time
EMP0022,Operations,Lead,M,65100,10300,75400,17,45,full-time
EMP0023,Engineering,Senior,M,60300,0,60300,10,40,full-time
EMP0024,Sales,Senior,F,57200,0,57200,8,35,full-time
EMP0025,HR,Senior,M,48300,7500,55800,7,33,full-time
EMP0026,Finance,Mid,F,43700,5900,49600,3,27,full-time
EMP0027,Sales,Mid,F,43500,8000,51500,4,26,temporary
EMP0028,HR,Junior,M,28100,3100,31200,1,25,part-time
EMP0029,Sales,Senior,F,65400,13100,78500,7,34,full-time
EMP0030,Marketing,Lead,M,81600,0,81600,15,34,full-time
EMP0031,HR,Mid,F,36600,4600,41200,6,31,full-time
EMP0032,Operations,Mid,M,40000,0,40000,4,29,full-time
EMP0033,Operations,Mid,F,42800,4000,46800,5,26,temporary
EMP0034,Legal,Lead,F,78500,13800,92300,14,44,full-time
EMP0035,Finance,Director,M,113600,18900,132500,19,52,full-time
EMP0036,Engineering,Mid,F,41700,7200,48900,5,27,part-time
EMP0037,Finance,Lead,M,89100,13900,103000,18,48,full-time
EMP0038,Legal,Senior,F,63800,10600,74400,12,33,full-time
EMP0039,Marketing,Senior,M,63500,8000,71500,8,32,full-time
EMP0040,Legal,Mid,F,49700,7800,57500,4,27,full-time
EMP0041,HR,Mid,F,44600,3700,48300,5,29,full-time
EMP0042,Engineering,Director,M,111600,0,111600,25,46,full-time
EMP0043,Finance,Director,F,117000,20200,137200,16,40,full-time
EMP0044,Marketing,Senior,F,62300,6300,68600,12,37,full-time
EMP0045,Sales,Junior,M,30200,0,30200,2,25,full-time
EMP0046,Engineering,Senior,F,56900,7800,64700,7,38,full-time
EMP0047,Operations,Junior,M,27300,2400,29700,2,23,full-time
EMP0048,Finance,Senior,F,65200,10300,75500,6,32,full-time
EMP0049,Operations,Senior,F,50900,0,50900,12,39,temporary
EMP0050,Operations,Lead,F,67600,9400,77000,14,45,part-time
EMP0051,Operations,Senior,M,60000,5700,65700,7,31,full-time
EMP0052,Engineering,Junior,M,34100,5200,39300,0,26,full-time
EMP0053,Engineering,Mid,M,48800,0,48800,3,32,full-time
EMP0054,Operations,Mid,F,38700,5400,44100,6,33,full-time
EMP0055,Sales,Senior,M,58400,0,58400,12,37,full-time
EMP0056,Engineering,Director,F,89700,21600,111300,20,49,full-time
EMP0057,Operations,Lead,M,85300,7500,92800,11,46,full-time
EMP0058,Engineering,Mid,M,50300,6500,56800,5,29,full-time
EMP0059,Operations,Mid,M,41900,0,41900,4,31,full-time
EMP0060,Engineering,Senior,F,65500,11300,76800,9,32,full-time
EMP0061,Sales,Mid,F,44500,0,44500,6,29,full-time
EMP0062,Operations,Junior,F,29200,3300,32500,0,27,full-time
EMP0063,Finance,Lead,M,71900,14700,86600,18,35,full-time
EMP0064,HR,Junior,F,33000,4100,37100,3,26,part-time
EMP0065,HR,Senior,F,50200,0,50200,10,39,temporary
EMP0066,Finance,Senior,F,55300,0,55300,12,42,full-time
EMP0067,HR,Mid,M,42400,4900,47300,6,28,part-time
EMP0068,Engineering,Lead,F,66700,11400,78100,16,36,full-time
EMP0069,Engineering,Mid,M,53900,5400,59300,7,30,part-time
EMP0070,Sales,Mid,M,48100,7400,55500,3,30,full-time
EMP0071,Marketing,Junior,F,29200,3600,32800,2,22,temporary
EMP0072,Operations,Mid,M,46700,7500,54200,7,30,temporary
EMP0073,Engineering,Junior,M,28200,4100,32300,1,23,full-time
EMP0074,Marketing,Mid,M,39400,0,39400,7,26,part-time
EMP0075,HR,Senior,F,56700,0,56700,7,37,full-time
EMP0076,Engineering,Senior,M,65200,0,65200,11,35,full-time
EMP0077,Sales,Mid,F,38700,0,38700,6,29,full-time
EMP0078,Finance,Junior,F,30000,4700,34700,1,27,full-time
EMP0079,Finance,Senior,M,59600,0,59600,7,33,full-time
EMP0080,Legal,Senior,M,74000,13400,87400,8,31,full-time
EMP0081,Marketing,Junior,M,36700,0,36700,0,27,part-time
EMP0082,Engineering,Junior,F,27100,0,27100,1,27,full-time
EMP0083,Marketing,Senior,M,63500,0,63500,6,32,full-time
EMP0084,Finance,Lead,F,70700,0,70700,16,36,part-time
EMP0085,Sales,Junior,F,30400,0,30400,2,25,full-time
EMP0086,Operations,Lead,M,86600,7700,94300,12,37,full-time
EMP0087,Marketing,Mid,M,42500,5100,47600,5,28,full-time
EMP0088,Sales,Senior,M,52000,0,52000,9,32,part-time
EMP0089,Sales,Mid,F,45500,0,45500,6,26,full-time
EMP0090,Operations,Junior,M,33000,3900,36900,2,25,temporary
EMP0091,Engineering,Senior,M,63400,0,63400,9,36,full-time
EMP0092,Sales,Junior,F,32200,5700,37900,3,28,full-time
EMP0093,Finance,Senior,M,69800,8500,78300,8,37,full-time
EMP0094,Operations,Senior,F,55800,6800,62600,12,38,full-time
EMP0095,Finance,Director,M,95600,16300,111900,21,56,full-time
EMP0096,Finance,Senior,F,64900,0,64900,7,32,full-time
EMP0097,Legal,Senior,M,73800,12000,85800,6,36,temporary
EMP0098,Legal,Lead,M,90800,13000,103800,17,44,full-time
EMP0099,Marketing,Mid,M,37800,0,37800,3,32,part-time
EMP0100,Sales,Junior,M,32400,0,32400,2,27,temporary
EMP0101,Finance,Director,F,93600,0,93600,16,46,full-time
EMP0102,Marketing,Senior,F,51700,0,51700,6,40,full-time
EMP0103,Engineering,Lead,M,75800,14600,90400,18,46,full-time
EMP0104,Finance,Mid,M,40200,6900,47100,3,29,full-time
EMP0105,Marketing,Junior,M,33700,3300,37000,1,24,full-time
EMP0106,Sales,Junior,F,32300,8500,40800,1,23,full-time
EMP0107,Marketing,Mid,F,38400,7500,45900,4,26,full-time
EMP0108,Marketing,Junior,F,30000,0,30000,2,24,full-time
EMP0109,Engineering,Lead,M,89300,0,89300,14,42,full-time
EMP0110,Sales,Senior,M,64500,0,64500,9,38,full-time
EMP0111,Legal,Mid,M,54700,0,54700,4,30,full-time
EMP0112,Engineering,Mid,M,43500,7900,51400,5,27,full-time
EMP0113,Operations,Mid,F,45400,7400,52800,4,33,full-time
EMP0114,Finance,Mid,M,40000,5400,45400,3,34,full-time
EMP0115,HR,Junior,F,31700,3400,35100,3,23,full-time
EMP0116,Legal,Senior,M,75100,13800,88900,7,36,full-time
EMP0117,Sales,Senior,F,65100,11700,76800,8,33,part-time
EMP0118,Engineering,Junior,M,29800,4000,33800,0,26,full-time
EMP0119,Marketing,Lead,M,66300,10300,76600,15,44,full-time
EMP0120,Operations,Senior,M,66100,5600,71700,10,40,full-time
EMP0121,Operations,Junior,M,30900,4800,35700,3,27,part-time
EMP0122,HR,Mid,M,46200,0,46200,7,26,temporary
EMP0123,Sales,Mid,M,43600,0,43600,6,33,full-time
EMP0124,Legal,Senior,F,63800,13000,76800,12,38,full-time
EMP0125,Engineering,Director,F,104600,21800,126400,16,42,full-time
EMP0126,Engineering,Mid,F,44100,5500,49600,4,30,full-time
EMP0127,Engineering,Junior,F,31500,4700,36200,1,25,full-time
EMP0128,Marketing,Mid,M,44000,4100,48100,3,27,temporary
EMP0129,Sales,Junior,M,31900,0,31900,2,27,full-time
EMP0130,HR,Mid,F,42000,4600,46600,6,30,part-time
EMP0131,Engineering,Mid,F,44200,0,44200,5,33,full-time
EMP0132,Engineering,Lead,M,75600,0,75600,12,44,full-time
EMP0133,Operations,Senior,M,58300,0,58300,12,37,full-time
EMP0134,Legal,Lead,M,76900,15000,91900,15,37,full-time
EMP0135,Legal,Lead,F,70300,15200,85500,13,36,full-time
EMP0136,Marketing,Senior,M,57800,0,57800,12,32,temporary
EMP0137,HR,Junior,F,32500,2600,35100,3,25,full-time
EMP0138,Marketing,Lead,F,67900,0,67900,14,34,full-time
EMP0139,Legal,Mid,F,51200,7500,58700,3,35,full-time
EMP0140,Finance,Junior,M,29700,0,29700,2,26,temporary
EMP0141,HR,Senior,M,58700,0,58700,6,30,temporary
