employee_id,department,level,gender,base_salary,bonus,total_compensation,years_experience,age,contract_type
EMP0363,Marketing,Junior,F,34500,5700,40200,3,22,temporary
EMP0074,Engineering,Senior,F,62700,4900,67600,8,31,full-time
EMP0376,Marketing,Junior,M,32300,5900,38200,0,25,full-time
EMP0156,Sales,Mid,M,45800,6700,52500,5,27,full-time
EMP0105,Sales,Junior,M,30800,6200,37000,1,22,full-time
EMP0396,Marketing,Mid,F,42900,2400,45300,4,25,full-time
EMP0379,Marketing,Junior,F,32400,1600,34000,1,22,full-time
EMP0125,Sales,Junior,F,34400,1900,36300,3,24,full-time
EMP0069,Engineering,Senior,F,68900,6700,75600,11,36,full-time
EMP0452,Operations,Junior,F,30900,3800,34700,1,23,temporary
EMP0010,Engineering,Junior,M,31100,2800,33900,3,25,full-time
EMP0195,Finance,Junior,M,27400,4500,31900,0,22,full-time
EMP0408,Marketing,Senior,M,67800,13000,80800,15,35,full-time
EMP0085,Engineering,Senior,M,82700,16200,98900,15,35,full-time
EMP0486,Operations,Senior,M,57500,7700,65200,8,31,full-time
EMP0421,Marketing,Senior,F,61200,11800,73000,13,36,full-time
EMP0497,Operations,Director,F,66700,8400,75100,20,41,full-time
EMP0031,Engineering,Junior,F,34400,3200,37600,0,22,full-time
EMP0317,HR,Mid,M,44800,6800,51600,4,28,full-time
EMP0410,Marketing,Senior,F,54800,5600,60400,9,30,full-time
EMP0492,Operations,Director,M,67400,8200,75600,15,39,full-time
EMP0493,Operations,Director,F,82700,8500,91200,23,47,full-time
EMP0281,HR,Junior,F,32600,2600,35200,0,22,full-time
EMP0357,Marketing,Junior,M,34400,5000,39400,2,22,full-time
EMP0077,Engineering,Senior,F,69600,6200,75800,11,30,full-time
EMP0463,Operations,Mid,M,43700,8400,52100,4,27,full-time
EMP0499,Operations,Director,M,75000,14500,89500,20,42,full-time
EMP0212,Finance,Junior,F,30300,2700,33000,0,22,full-time
EMP0102,Sales,Junior,M,34400,2600,37000,3,22,full-time
EMP0335,HR,Senior,F,51200,2700,53900,8,29,full-time
EMP0403,Marketing,Mid,F,38200,6100,44300,4,27,full-time
EMP0337,HR,Senior,F,59100,4200,63300,12,36,full-time
EMP0442,Operations,Junior,F,26900,3600,30500,3,22,full-time
EMP0174,Sales,Senior,M,47600,5000,52600,9,33,full-time
EMP0003,Engineering,Junior,F,32800,5200,38000,1,25,full-time
EMP0334,HR,Senior,F,56700,10200,66900,12,33,full-time
EMP0411,Marketing,Senior,F,66200,8700,74900,10,34,full-time
EMP0071,Engineering,Senior,F,64400,8100,72500,10,35,part-time
EMP0210,Finance,Junior,F,35400,1800,37200,0,23,full-time
EMP0064,Engineering,Mid,M,46900,3600,50500,3,25,full-time
EMP0435,Marketing,Director,M,84300,15300,99600,22,47,full-time
EMP0094,Engineering,Lead,F,87600,5300,92900,12,33,temporary
EMP0487,Operations,Senior,M,52600,9200,61800,9,29,full-time
EMP0186,Sales,Director,F,77400,14400,91800,16,36,full-time
EMP0034,Engineering,Junior,F,38100,2300,40400,3,24,full-time
EMP0078,Engineering,Senior,M,74400,14800,89200,10,30,full-time
EMP0001,Engineering,Junior,M,33100,5500,38600,0,25,full-time
EMP0012,Engineering,Junior,F,29700,5400,35100,1,26,part-time
EMP0417,Marketing,Senior,F,55300,8000,63300,14,34,full-time
EMP0023,Engineering,Junior,M,35300,6600,41900,2,27,full-time
EMP0073,Engineering,Senior,F,65900,11000,76900,9,28,temporary
EMP0183,Sales,Senior,M,65800,11200,77000,7,27,full-time
EMP0132,Sales,Mid,M,38800,3900,42700,3,22,full-time
EMP0412,Marketing,Senior,M,59800,4800,64600,11,36,part-time
EMP0194,Finance,Junior,F,33100,2400,35500,3,24,full-time
EMP0056,Engineering,Mid,F,51600,6500,58100,3,25,full-time
EMP0149,Sales,Mid,M,48700,9100,57800,5,30,full-time
EMP0019,Engineering,Junior,M,31100,5000,36100,3,27,part-time
EMP0205,Finance,Junior,M,33100,3200,36300,1,26,full-time
EMP0079,Engineering,Senior,F,67900,11700,79600,7,32,full-time
EMP0496,Operations,Director,M,63600,6100,69700,15,39,full-time
EMP0263,Finance,Senior,F,57400,9600,67000,13,34,full-time
EMP0324,HR,Mid,M,41200,6600,47800,6,30,full-time
EMP0485,Operations,Senior,M,54400,5900,60300,12,34,temporary
EMP0080,Engineering,Senior,M,68600,5900,74500,7,26,full-time
EMP0040,Engineering,Mid,F,47700,8200,55900,3,25,full-time
EMP0453,Operations,Junior,F,28600,2600,31200,1,25,part-time
EMP0047,Engineering,Mid,F,50800,6200,57000,5,26,full-time
EMP0239,Finance,Mid,M,45000,7800,52800,5,26,full-time
EMP0393,Marketing,Mid,F,47600,6500,54100,7,31,full-time
EMP0353,Marketing,Junior,F,31000,3300,34300,3,26,full-time
EMP0342,HR,Director,F,62300,12300,74600,24,49,full-time
EMP0278,HR,Junior,F,28700,2000,30700,0,22,full-time
EMP0291,HR,Junior,M,31900,3500,35400,0,22,full-time
EMP0318,HR,Mid,M,35500,5500,41000,6,30,full-time
EMP0305,HR,Junior,F,27000,2600,29600,2,24,full-time
EMP0269,Finance,Director,F,83900,11500,95400,13,35,full-time
EMP0070,Engineering,Senior,F,68300,9500,77800,8,30,full-time
EMP0457,Operations,Junior,M,31200,1800,33000,3,24,full-time
EMP0491,Operations,Senior,F,59900,7100,67000,13,36,full-time
EMP0155,Sales,Mid,F,52200,6000,58200,6,28,full-time
EMP0083,Engineering,Senior,F,55800,3300,59100,11,32,full-time
EMP0479,Operations,Senior,M,61700,8500,70200,12,31,full-time
EMP0173,Sales,Senior,M,67500,4900,72400,7,30,full-time
EMP0322,HR,Mid,M,38800,3500,42300,4,25,full-time
EMP0091,Engineering,Lead,F,97000,15900,112900,18,43,full-time
EMP0181,Sales,Senior,F,51800,5500,57300,13,38,full-time
EMP0416,Marketing,Senior,F,48100,3700,51800,14,36,full-time
EMP0313,HR,Mid,F,44700,5000,49700,4,23,full-time
EMP0279,HR,Junior,F,27100,2000,29100,0,22,full-time
EMP0383,Marketing,Mid,M,47800,2400,50200,7,27,full-time
EMP0474,Operations,Mid,F,43700,5100,48800,4,25,full-time
EMP0454,Operations,Junior,F,27500,2800,30300,3,27,full-time
EMP0325,HR,Mid,F,41800,6800,48600,4,28,full-time
EMP0433,Marketing,Director,M,89100,7300,96400,16,37,full-time
EMP0348,Marketing,Junior,F,27800,5400,33200,2,22,full-time
EMP0087,Engineering,Senior,F,70100,4800,74900,11,35,temporary
EMP0076,Engineering,Senior,F,56100,8300,64400,8,31,part-time
EMP0440,Operations,Junior,M,30500,2900,33400,2,22,full-time
EMP0016,Engineering,Junior,F,33100,3100,36200,2,23,full-time
EMP0250,Finance,Senior,F,67900,6700,74600,8,29,temporary
EMP0387,Marketing,Mid,M,41400,6400,47800,6,30,temporary
EMP0020,Engineering,Junior,M,30800,3300,34100,2,26,full-time
EMP0323,HR,Mid,M,36300,2100,38400,6,26,full-time
EMP0333,HR,Senior,F,52100,9800,61900,12,32,full-time
EMP0057,Engineering,Mid,M,49200,2800,52000,5,30,full-time
EMP0302,HR,Junior,M,25400,2800,28200,2,26,full-time
EMP0230,Finance,Mid,M,43400,7100,50500,7,28,temporary
EMP0332,HR,Senior,M,46100,3400,49500,12,33,full-time
EMP0133,Sales,Mid,M,42900,3200,46100,5,29,full-time
EMP0138,Sales,Mid,M,48700,3800,52500,6,27,full-time
EMP0425,Marketing,Senior,M,65000,4300,69300,15,36,part-time
EMP0336,HR,Senior,F,59500,8000,67500,15,35,full-time
EMP0026,Engineering,Junior,F,37600,2900,40500,1,25,full-time
EMP0466,Operations,Mid,M,42300,2900,45200,6,28,part-time
EMP0282,HR,Junior,F,30300,2100,32400,0,22,full-time
EMP0248,Finance,Senior,F,48100,8100,56200,15,39,full-time
EMP0238,Finance,Mid,M,47800,9300,57100,6,27,full-time
EMP0118,Sales,Junior,F,26300,2900,29200,3,24,full-time
EMP0043,Engineering,Mid,F,52500,7100,59600,3,24,temporary
EMP0221,Finance,Mid,M,54800,8500,63300,5,26,full-time
EMP0177,Sales,Senior,M,63000,5400,68400,8,29,full-time
EMP0321,HR,Mid,M,42100,2500,44600,7,29,full-time
EMP0154,Sales,Mid,M,40900,2700,43600,6,29,full-time
EMP0232,Finance,Mid,M,44000,5500,49500,4,27,full-time
EMP0228,Finance,Mid,M,48200,8800,57000,5,27,part-time
EMP0419,Marketing,Senior,M,60400,11900,72300,7,29,full-time
EMP0204,Finance,Junior,F,32900,2200,35100,2,27,full-time
EMP0127,Sales,Junior,F,34100,2900,37000,0,25,full-time
EMP0330,HR,Senior,M,54200,4600,58800,8,27,full-time
EMP0032,Engineering,Junior,F,28700,3600,32300,1,26,full-time
EMP0114,Sales,Junior,F,29100,2700,31800,1,22,full-time
EMP0472,Operations,Mid,M,39600,4000,43600,3,27,full-time
EMP0272,Finance,Director,F,96300,13100,109400,21,43,full-time
EMP0141,Sales,Mid,F,37200,5300,42500,3,22,full-time
EMP0058,Engineering,Mid,F,45900,2900,48800,5,24,full-time
EMP0193,Sales,Director,M,83900,13400,97300,12,32,full-time
EMP0025,Engineering,Junior,F,35500,3300,38800,0,24,full-time
EMP0018,Engineering,Junior,M,37600,6700,44300,3,23,full-time
EMP0266,Finance,Director,M,89900,8000,97900,23,42,part-time
EMP0067,Engineering,Senior,M,64900,10600,75500,15,38,full-time
EMP0209,Finance,Junior,M,33900,2900,36800,2,23,part-time
EMP0481,Operations,Senior,M,48900,3200,52100,12,33,full-time
EMP0095,Engineering,Lead,F,79800,7500,87300,10,33,full-time
EMP0254,Finance,Senior,M,59100,7900,67000,8,30,full-time
EMP0267,Finance,Director,M,100200,14500,114700,23,45,full-time
EMP0024,Engineering,Junior,M,28000,2300,30300,0,25,full-time
EMP0223,Finance,Mid,M,45100,8300,53400,3,23,part-time
EMP0262,Finance,Senior,M,66300,8100,74400,9,29,full-time
EMP0431,Marketing,Director,M,72300,11100,83400,23,48,full-time
EMP0006,Engineering,Junior,M,33500,4000,37500,2,26,full-time
EMP0117,Sales,Junior,M,37000,4100,41100,3,25,full-time
EMP0046,Engineering,Mid,F,47400,3000,50400,5,29,full-time
EMP0017,Engineering,Junior,F,37600,2300,39900,2,22,full-time
EMP0464,Operations,Mid,M,37800,1900,39700,7,32,full-time
EMP0358,Marketing,Junior,F,32500,5900,38400,0,22,full-time
EMP0004,Engineering,Junior,F,35000,2700,37700,3,23,full-time
EMP0219,Finance,Mid,M,40500,3100,43600,4,23,full-time
EMP0407,Marketing,Mid,F,55200,4600,59800,4,23,full-time
EMP0061,Engineering,Mid,F,52000,3200,55200,7,29,full-time
EMP0111,Sales,Junior,M,31900,5000,36900,2,27,full-time
EMP0319,HR,Mid,F,44200,7300,51500,6,29,part-time
EMP0430,Marketing,Director,M,92300,16300,108600,22,43,full-time
EMP0030,Engineering,Junior,M,45300,4500,49800,3,22,full-time
EMP0439,Operations,Junior,F,29100,5100,34200,0,25,full-time
EMP0445,Operations,Junior,F,29600,1600,31200,2,23,temporary
EMP0027,Engineering,Junior,F,33300,6100,39400,0,22,full-time
EMP0008,Engineering,Junior,F,35700,6800,42500,3,27,full-time
EMP0455,Operations,Junior,F,27100,3200,30300,0,22,full-time
EMP0109,Sales,Junior,M,30700,5100,35800,2,22,part-time
EMP0038,Engineering,Mid,F,53600,3400,57000,3,22,full-time
EMP0158,Sales,Mid,F,41000,5300,46300,4,23,full-time
EMP0468,Operations,Mid,M,37400,5200,42600,4,28,full-time
EMP0119,Sales,Junior,F,28200,1600,29800,0,22,full-time
EMP0115,Sales,Junior,M,24900,3000,27900,1,25,full-time
